frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
53, 0, 0.000, 0.98, 1, -0.02, 0.08, -0.30, -0.15, 1.40, 0.36, 0.40, 2.30, 2.04, 1.25, 0.70, 1.42, -0.41, 1.05, 0.56, 2.52, 2.10, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0
54, 0, 0.000, 0.98, 1, 0.68, 0.25, -1.35, -0.07, 0.72, -0.23, -0.72, 1.60, 2.62, 1.62, 0.04, 0.14, -1.78, 1.26, 0.36, 0.05, 2.37, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
55, 0, 0.000, 0.98, 1, -0.92, -1.33, 0.53, -1.41, 2.11, 2.48, 0.99, 0.82, 2.91, 1.33, -0.08, 0.61, 0.31, 0.72, -1.42, 0.07, 0.40, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
56, 0, 0.000, 0.98, 1, 1.17, 3.12, -0.38, 2.60, 0.90, -0.17, 0.00, 1.20, 1.77, 0.80, -0.91, 1.35, -0.78, 0.58, 0.49, 1.73, 1.10, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
57, 0, 0.000, 0.98, 1, 2.17, 2.19, -0.86, 1.43, 0.79, -0.66, 0.50, 1.04, 2.45, 1.83, -0.27, 2.15, 0.21, 1.26, 0.56, 0.81, -0.78, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
58, 0, 0.000, 0.98, 1, -1.84, -1.50, -0.54, 0.28, 2.88, 2.02, 0.41, 2.69, 3.77, 1.70, -0.17, 1.01, 0.74, 0.56, 1.91, 3.29, 0.21, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0
59, 0, 0.000, 0.98, 1, 0.89, -0.00, 0.71, -1.77, 3.04, 2.99, 2.40, 2.44, 2.86, 1.89, -0.01, 0.78, 0.12, 1.65, -0.09, -0.67, -0.32, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 0, 0.000, 0.98, 1, -0.30, -1.59, 0.10, -0.29, 2.26, 3.38, 1.26, 2.28, 1.18, 0.90, 1.66, 0.78, 1.76, 1.32, 0.36, 3.55, 1.99, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
61, 0, 0.000, 0.88, 1, -0.13, -0.64, 1.13, 0.50, 1.90, 2.27, 1.55, 1.58, 0.80, 0.80, 2.74, 2.50, 1.62, 1.45, -2.41, 2.16, 0.51, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0
62, 0, 0.000, 0.98, 1, 2.87, 2.17, 0.78, 1.56, 2.09, 2.80, 0.90, 2.23, 1.62, 2.97, 1.49, 0.19, 1.64, 1.85, 0.61, -1.42, 2.22, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
63, 0, 0.000, 0.88, 1, 1.56, 2.85, -1.37, 1.50, 0.44, -0.20, 0.91, 0.14, 0.62, 1.23, 2.38, 1.27, -1.21, 2.70, -1.65, 0.20, 1.52, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
