frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
52, 0, 0.000, 0.98, 1, 0.93, 0.99, -0.05, 2.38, 3.08, 1.23, -1.84, 1.50, 1.08, 2.19, 4.71, 4.39, 4.72, 4.58, 1.56, 1.27, -2.27, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0
53, 0, 0.000, 0.88, 1, 0.29, 0.45, 1.58, 0.21, 1.75, 2.59, 0.27, 2.36, -0.11, 3.66, 4.29, 1.49, -1.41, 4.25, -0.59, -2.65, 4.57, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0
54, 0, 0.000, 0.92, 1, -0.12, 1.68, -0.26, 1.23, -0.28, -0.18, -0.72, -0.03, 1.07, 1.02, -0.98, -0.06, 0.30, 0.60, 1.10, 3.08, 0.47, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
55, 0, 0.000, 0.98, 1, 0.64, 0.86, -0.03, 0.20, 1.17, 0.46, 0.50, 1.61, 2.15, 1.28, 0.27, 0.80, 0.75, 2.29, -1.59, 1.35, -0.02, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
56, 0, 0.000, 0.85, 1, 2.14, 1.47, 0.90, -0.30, 1.20, 0.24, 0.69, 2.00, 1.32, 1.24, 2.79, 0.50, -1.21, 2.62, -2.76, -0.24, 1.14, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
57, 0, 0.000, 0.98, 1, 0.74, 0.67, -1.01, -1.18, 2.97, 3.69, 1.73, 3.73, 2.47, 0.29, 2.57, 2.19, 0.73, -0.45, 0.61, 0.37, 0.26, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0
58, 0, 0.000, 0.98, 1, 1.38, 0.88, 1.68, -0.36, 1.64, 1.57, 1.16, 3.62, 2.48, 1.41, 0.69, 0.06, -0.37, -0.46, 2.58, 0.94, 2.40, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
59, 0, 0.000, 0.85, 1, 4.09, 2.21, 0.96, 1.76, 1.84, -0.21, -0.24, 2.58, 1.99, -0.84, 4.44, 5.21, 2.37, 0.98, 1.31, 0.98, -1.72, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0
60, 0, 0.000, 0.98, 1, 0.86, 2.13, 1.70, 1.68, 2.16, 1.49, 1.16, 3.35, 3.03, 2.35, 0.14, 3.09, -0.69, 1.12, 1.38, -0.48, -0.22, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
61, 0, 0.000, 0.98, 1, -0.23, 0.51, 1.33, 1.92, 1.16, 3.06, 2.29, 3.58, 0.65, 1.97, 0.40, 1.71, 2.35, 2.05, 0.28, 2.20, 1.47, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
