frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
46,  0,  0.000,  0.98,  1, 0.83, 0.33, 0.53, 0.16, 0.00, 0.09, 0.19, 0.04, 0.00, 0.17, 0.15, 0.00, 0.13, 0.00, 0.70, 0.12, 1.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  0.000,  0.02,  0, 0.83, 0.33, 0.00, 0.00, 0.00, 0.00, 0.19, 0.00, 0.00, 0.00, 0.15, 0.00, 0.13, 0.00, 0.33, 0.00, 1.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  0.000,  0.02,  0, 0.76, 0.09, 0.27, 0.00, 0.00, 0.42, 0.00, 0.00, 0.29, 0.45, 0.00, 0.46, 0.20, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  0.000,  0.88,  1, 0.76, 0.09, 0.27, 0.00, 0.00, 1.10, 0.00, 0.00, 0.29, 0.45, 0.00, 0.64, 0.20, 0.00, 0.61, 1.19, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  0.000,  0.98,  1, 0.76, 0.09, 1.43, 0.00, 0.19, 2.01, 0.33, 0.00, 0.29, 0.45, 0.77, 1.13, 0.20, 0.00, 0.69, 1.45, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  0.000,  0.88,  1, 0.05, 0.00, 1.39, 0.00, 0.19, 1.59, 0.33, 0.32, 0.00, 0.00, 0.77, 0.92, 0.00, 0.00, 0.61, 1.53, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  0.000,  0.98,  1, 0.05, 0.00, 1.39, 0.00, 0.19, 0.91, 0.33, 0.32, 0.00, 0.00, 0.77, 0.74, 0.00, 0.00, 0.38, 0.34, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  0.000,  0.02,  0, 0.05, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 0.31, 0.09, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  0.000,  0.02,  0, 1.67, 1.34, 0.08, 0.00, 0.06, 0.95, 0.00, 0.36, 0.18, 0.03, 0.00, 0.12, 0.00, 0.00, 0.35, 0.35, 0.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  0.000,  0.85,  1, 1.67, 1.34, 0.08, 0.00, 0.06, 0.95, 0.00, 0.36, 0.18, 0.03, 0.00, 0.12, 0.00, 0.00, 0.35, 0.35, 0.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
